SignalKey,When,Symbol,AssetClass,Side,BasePrice,EqLevel,SDsFromBase,PlannedPrice,TickSize,OrderType,Shares,FxNotional
2025-08-13 08:18:13|NZD.JPY|ShortTrigger,2025-08-13 08:18:13,NZD.JPY,FX,SELL,88.075,4.095,0.0,88.08,0.01,LIMIT,0,100000.0
2025-08-13 08:18:13|NZD.JPY|ShortTrigger,2025-08-13 08:18:13,NZD.JPY,FX,SELL,88.075,4.095,1.0,92.17,0.01,LIMIT,0,100000.0
2025-08-13 08:18:13|NZD.JPY|ShortTrigger,2025-08-13 08:18:13,NZD.JPY,FX,SELL,88.075,4.095,2.0,96.26,0.01,LIMIT,0,100000.0
